name,abbrv,formula,state,ref1,ref2,date,G,H,S,Cp,V,a1.a,a2.b,a3.c,a4.d,c1.e,c2.f,omega.lambda,z.T
threonine,Thr,C4H9NO3,aq,AH97b,DLH06.1,25.Aug.06,-119830,-178940,44.23,50.1,77.6,18.94,2.83,8.87,-4.87,65.5,-7.1,0.11,0
tryptophan,Trp,C11H12N2O2,aq,AH97b,DLH06.1,25.Aug.06,-26820,-97590,59.96,99.6,143.6,33.91,9.21,14.78,-9.36,116.8,-7.8,0.15,0
tyrosine,Tyr,C9H11NO3,aq,AH97b,DLH06.1,25.Aug.06,-91800,-157740,59.41,80.2,124.5,30.06,8.49,8.36,-8.58,106.2,-12.4,0.09,0
tyrosinate,Tyr-,C9H10NO3-,aq,AH97b,DLH06.1,25.Aug.06,-79380,-149420,45.66,51.2,111.8,26.34,10.49,16.42,-7.59,109,-16,2.78,0
valine,Val,C5H11NO2,aq,AH97b,DLH06.1,25.Aug.06,-85330,-146420,45.68,74,90.9,21.35,4.48,14.58,-6.12,83.8,-4.3,0.12,0
xylose,xylose,C5H10O5,aq,AP01,NA,24.Aug.06,-179371.414913958,-249937.858508604,48.7332695984704,65.9655831739962,95.7,22.5860420650096,0.90822179732314,4.78011472275335,-2.77246653919694,90.9177820267686,-17.5908221797323,-1.31453154875717,0
arabinose,arabinose,C5H10O5,aq,AP01,NA,24.Aug.06,-177397.227533461,-249471.797323136,43.6663479923518,67.1606118546845,93.3,22.538240917782,0.81261950286807,3.99139579349904,-3.48948374760994,93.7619502868069,-18.4034416826004,-1.31453154875717,0
lyxose,lyxose,C5H10O5,aq,AP01,NA,24.Aug.06,-179048.757170172,-250164.913957935,47.0841300191205,67.3996175908222,94.2,22.6577437858509,1.2906309751434,1.7925430210325,-3.10707456978967,93.9292543021032,-18.4034416826004,-1.31453154875717,0
xylulose,xylulose,C5H10O5,aq,AP01,NA,24.Aug.06,-178334.13001912,-246092.256214149,58.1500956022945,76.2428298279159,94.7,22.3231357552581,1.91204588910134,5.32982791586998,-3.58508604206501,102.772466539197,-18.4034416826004,-1.31453154875717,0
ribulose,ribulose,C5H10O5,aq,AP01,NA,24.Aug.06,-175893.881453155,-244507.648183556,55.2820267686424,76.2428298279159,94.7,22.3231357552581,1.91204588910134,5.32982791586998,-3.58508604206501,102.772466539197,-18.4034416826004,-1.31453154875717,0
glucose,glucose,C6H12O6,aq,AP01,NA,24.Aug.06,-218905.353728489,-301670.650095602,64.8900573613767,86.7590822179732,112.2,25.5258126195029,3.10707456978967,12.3804971319312,-4.87571701720841,89.7227533460803,-7.88718929254302,-1.5774378585086,0
mannose,mannose,C6H12O6,aq,AP01,NA,24.Aug.06,-217731.835564054,-300826.959847036,63.7906309751434,81.2619502868069,111.9,26.84034416826,0.47801147227534,1.7208413001912,-2.74856596558317,91.3240917782027,-11.3049713193117,-1.5774378585086,0
galactose,galactose,C6H12O6,aq,AP01,NA,24.Aug.06,-217239.48374761,-300000,64.9139579349904,90.5831739961759,110.7,26.7208413001912,-0.1434034416826,2.67686424474187,-2.96367112810707,99.7131931166348,-11.1376673040153,-1.5774378585086,0
fructose,fructose,C6H12O6,aq,AP01,NA,24.Aug.06,-218812.141491396,-300999.043977055,66.8260038240918,84.1300191204589,111,25.8604206500956,4.51720841300191,8.98661567877629,-6.04684512428298,107.433078393881,-17.9015296367113,-1.5774378585086,0
sorbose,sorbose,C6H12O6,aq,AP01,NA,24.Aug.06,-217961.281070746,-301935.946462715,60.8508604206501,84.1300191204589,111,25.8604206500956,4.51720841300191,8.98661567877629,-6.04684512428298,107.433078393881,-17.9015296367113,-1.5774378585086,0
